usdid,fwdir,latitude,longitude,abs_pm
286,101N,37.08283999999999,-121.59588000000001,361.3128997131373
287,101N,37.08312999999999,-121.596036,361.33470389131685
288,101N,37.084289999999996,-121.59666,361.421920474309
289,101N,37.08603999999999,-121.59765,361.55457650956885
290,101N,37.086607,-121.59797300000001,361.5976078864126
291,101N,37.086899999999986,-121.59814,361.6198465488062
292,101N,37.088,-121.59872000000001,361.70229861009824
293,101N,37.088329,-121.598903,361.7271675380033
294,101N,37.088899999999995,-121.59922000000002,361.7703154917894
295,101N,37.08928999999999,-121.59943,361.7996424830871
296,101N,37.090471,-121.600094,361.8890725100482
297,101N,37.09082,-121.60029,361.91549517340974
298,101N,37.09085999999999,-121.60032,361.91871574106483
299,101N,37.09105999999999,-121.60043,361.933805813599
300,101N,37.09165999999999,-121.60076,361.9790759926302
301,101N,37.091861,-121.60087,361.99422933686407
302,101N,37.09259,-121.60127,362.04921148900956
303,101N,37.093009999999985,-121.60149400000002,362.0807475043242
304,101N,37.093939999999996,-121.60199,362.15057715719996
305,101N,37.09645299999999,-121.603376,362.34026754768223
306,101N,37.09655,-121.60343,362.34760061065
307,101N,37.097591,-121.604023,362.4266029078296
308,101N,37.09761999999999,-121.60404,362.4288148182576
309,101N,37.09810399999999,-121.60436,362.4666209544019
310,101N,37.09870999999999,-121.60476,362.51393967773254
311,101N,37.09902499999999,-121.605004,362.5395228160063
312,101N,37.09915,-121.6051,362.54965101326206
313,101N,37.099584,-121.605454,362.58542480281335
314,101N,37.09964,-121.6055,362.5900504892973
315,101N,37.100037,-121.60587,362.6242287823566
316,101N,37.100229999999996,-121.60605000000001,362.64084854451295
317,101N,37.100418999999995,-121.606229,362.65721409595676
318,101N,37.10081999999999,-121.60661,362.6919771869376
319,101N,37.10105899999999,-121.606871,362.71387600255105
320,101N,37.101510999999995,-121.607364,362.7552693036234
321,101N,37.1017,-121.60757,362.77257233281244
322,101N,37.10185299999999,-121.607763,362.7875678879577
323,101N,37.10237999999999,-121.60843,362.83930605279744
324,101N,37.103139999999996,-121.60939,362.91384439777914
325,101N,37.10396,-121.61043400000001,362.9945886620355
326,101N,37.10412999999999,-121.61065,363.01131104282723
327,101N,37.10448999999999,-121.6111,363.0464335464567
328,101N,37.104672,-121.611333,363.0644051483373
329,101N,37.105218,-121.612032,363.1183198217383
330,101N,37.105399999999996,-121.612266,363.1363307440031
331,101N,37.10545799999999,-121.61234,363.14204798342166
332,101N,37.10553,-121.612432,363.14915066592374
333,101N,37.105631999999986,-121.612564,363.15927854825964
334,101N,37.105691,-121.612639,363.1650835197522
335,101N,37.106142999999996,-121.613219,363.20976869482297
336,101N,37.1075,-121.614959,363.34387169938736
337,101N,37.107952999999995,-121.61554000000001,363.388644029132
338,101N,37.108389999999986,-121.6161,363.4318159965761
339,101N,37.108624999999996,-121.616394,363.4547522805797
340,101N,37.10951,-121.6175,363.5410826740262
341,101N,37.110649999999985,-121.61894900000001,363.65323722985164
342,101N,37.11132299999999,-121.61980400000002,363.71943095841317
343,101N,37.11200999999999,-121.620678,363.7870489875464
344,101N,37.11213,-121.62083,363.79883394682327
345,101N,37.112809999999996,-121.62158000000001,363.8614048479541
346,101N,37.11341,-121.62216,363.9137483865949
347,101N,37.113769999999995,-121.62248,363.94423705396446
348,101N,37.11428,-121.62292,363.9870086190339
349,101N,37.11438799999999,-121.62301,363.99596807721684
350,101N,37.114589999999986,-121.62318,364.01277656980324
351,101N,37.11504,-121.62351,364.04879457991035
352,101N,37.11527699999999,-121.62367900000001,364.0676319249494
353,101N,37.115344,-121.623727,364.0729633488631
354,101N,37.11538999999999,-121.62376,364.0766249531663
355,101N,37.115555,-121.623862,364.0893352515215
356,101N,37.11562599999999,-121.623906,364.0948071899459
357,101N,37.115662,-121.623928,364.0975741724053
358,101N,37.11577299999999,-121.623997,364.1061340534902
359,101N,37.115809999999996,-121.62402000000002,364.1089873466362
360,101N,37.11582099999999,-121.624038,364.11023681556486
361,101N,37.11586599999999,-121.62405700000001,364.1135175122032
362,101N,37.115881,-121.62406700000001,364.114691259851
363,101N,37.11634,-121.62437,364.1505306235749
364,101N,37.11657499999999,-121.62450300000002,364.16834448427227
365,101N,37.11692,-121.6247,364.1945364179962
366,101N,37.11737999999999,-121.62498000000001,364.2298653962816
367,101N,37.117419999999996,-121.625,364.2328406956611
368,101N,37.118691999999996,-121.625758,364.3301449242123
369,101N,37.118829999999996,-121.62584000000001,364.34069592670295
370,101N,37.11918699999999,-121.626045,364.36782501125157
371,101N,37.11925999999999,-121.626088,364.37339747505763
372,101N,37.11934999999999,-121.62614,364.3802440782976
373,101N,37.11939999999999,-121.62617,364.3840737644046
374,101N,37.120253999999996,-121.62667100000002,364.44921613697744
375,101N,37.12084999999999,-121.62702000000002,364.4946633947443
376,101N,37.12178,-121.62759000000001,364.56618301603424
377,101N,37.12248999999999,-121.628,364.62018963328416
